image_path,label
./Viral_Pneumonia/images/Viral Pneumonia-770.png,Viral Pneumonia-770.png
./Viral_Pneumonia/images/Viral Pneumonia-1186.png,Viral Pneumonia-1186.png
./Viral_Pneumonia/images/Viral Pneumonia-1192.png,Viral Pneumonia-1192.png
./Viral_Pneumonia/images/Viral Pneumonia-764.png,Viral Pneumonia-764.png
./Viral_Pneumonia/images/Viral Pneumonia-994.png,Viral Pneumonia-994.png
./Viral_Pneumonia/images/Viral Pneumonia-980.png,Viral Pneumonia-980.png
./Viral_Pneumonia/images/Viral Pneumonia-758.png,Viral Pneumonia-758.png
./Viral_Pneumonia/images/Viral Pneumonia-1145.png,Viral Pneumonia-1145.png
./Viral_Pneumonia/images/Viral Pneumonia-1151.png,Viral Pneumonia-1151.png
./Viral_Pneumonia/images/Viral Pneumonia-957.png,Viral Pneumonia-957.png
./Viral_Pneumonia/images/Viral Pneumonia-1179.png,Viral Pneumonia-1179.png
./Viral_Pneumonia/images/Viral Pneumonia-943.png,Viral Pneumonia-943.png
./Viral_Pneumonia/images/Viral Pneumonia-214.png,Viral Pneumonia-214.png
./Viral_Pneumonia/images/Viral Pneumonia-572.png,Viral Pneumonia-572.png
./Viral_Pneumonia/images/Viral Pneumonia-566.png,Viral Pneumonia-566.png
./Viral_Pneumonia/images/Viral Pneumonia-200.png,Viral Pneumonia-200.png
./Viral_Pneumonia/images/Viral Pneumonia-228.png,Viral Pneumonia-228.png
./Viral_Pneumonia/images/Viral Pneumonia-599.png,Viral Pneumonia-599.png
./Viral_Pneumonia/images/Viral Pneumonia-360.png,Viral Pneumonia-360.png
./Viral_Pneumonia/images/Viral Pneumonia-406.png,Viral Pneumonia-406.png
./Viral_Pneumonia/images/Viral Pneumonia-412.png,Viral Pneumonia-412.png
./Viral_Pneumonia/images/Viral Pneumonia-374.png,Viral Pneumonia-374.png
./Viral_Pneumonia/images/Viral Pneumonia-348.png,Viral Pneumonia-348.png
./Viral_Pneumonia/images/Viral Pneumonia-1233.png,Viral Pneumonia-1233.png
./Viral_Pneumonia/images/Viral Pneumonia-15.png,Viral Pneumonia-15.png
./Viral_Pneumonia/images/Viral Pneumonia-1227.png,Viral Pneumonia-1227.png
./Viral_Pneumonia/images/Viral Pneumonia-29.png,Viral Pneumonia-29.png
./Viral_Pneumonia/images/Viral Pneumonia-604.png,Viral Pneumonia-604.png
./Viral_Pneumonia/images/Viral Pneumonia-162.png,Viral Pneumonia-162.png
./Viral_Pneumonia/images/Viral Pneumonia-176.png,Viral Pneumonia-176.png
./Viral_Pneumonia/images/Viral Pneumonia-610.png,Viral Pneumonia-610.png
./Viral_Pneumonia/images/Viral Pneumonia-638.png,Viral Pneumonia-638.png
./Viral_Pneumonia/images/Viral Pneumonia-1031.png,Viral Pneumonia-1031.png
./Viral_Pneumonia/images/Viral Pneumonia-1025.png,Viral Pneumonia-1025.png
./Viral_Pneumonia/images/Viral Pneumonia-823.png,Viral Pneumonia-823.png
./Viral_Pneumonia/images/Viral Pneumonia-1019.png,Viral Pneumonia-1019.png
./Viral_Pneumonia/images/Viral Pneumonia-189.png,Viral Pneumonia-189.png
./Viral_Pneumonia/images/Viral Pneumonia-837.png,Viral Pneumonia-837.png
./Viral_Pneumonia/images/Viral Pneumonia-188.png,Viral Pneumonia-188.png
./Viral_Pneumonia/images/Viral Pneumonia-1018.png,Viral Pneumonia-1018.png
./Viral_Pneumonia/images/Viral Pneumonia-836.png,Viral Pneumonia-836.png
./Viral_Pneumonia/images/Viral Pneumonia-822.png,Viral Pneumonia-822.png
./Viral_Pneumonia/images/Viral Pneumonia-1024.png,Viral Pneumonia-1024.png
./Viral_Pneumonia/images/Viral Pneumonia-1030.png,Viral Pneumonia-1030.png
./Viral_Pneumonia/images/Viral Pneumonia-639.png,Viral Pneumonia-639.png
./Viral_Pneumonia/images/Viral Pneumonia-177.png,Viral Pneumonia-177.png
./Viral_Pneumonia/images/Viral Pneumonia-611.png,Viral Pneumonia-611.png
./Viral_Pneumonia/images/Viral Pneumonia-605.png,Viral Pneumonia-605.png
./Viral_Pneumonia/images/Viral Pneumonia-163.png,Viral Pneumonia-163.png
./Viral_Pneumonia/images/Viral Pneumonia-28.png,Viral Pneumonia-28.png
./Viral_Pneumonia/images/Viral Pneumonia-14.png,Viral Pneumonia-14.png
./Viral_Pneumonia/images/Viral Pneumonia-1226.png,Viral Pneumonia-1226.png
./Viral_Pneumonia/images/Viral Pneumonia-1232.png,Viral Pneumonia-1232.png
./Viral_Pneumonia/images/Viral Pneumonia-349.png,Viral Pneumonia-349.png
./Viral_Pneumonia/images/Viral Pneumonia-413.png,Viral Pneumonia-413.png
./Viral_Pneumonia/images/Viral Pneumonia-375.png,Viral Pneumonia-375.png
./Viral_Pneumonia/images/Viral Pneumonia-361.png,Viral Pneumonia-361.png
./Viral_Pneumonia/images/Viral Pneumonia-407.png,Viral Pneumonia-407.png
./Viral_Pneumonia/images/Viral Pneumonia-598.png,Viral Pneumonia-598.png
./Viral_Pneumonia/images/Viral Pneumonia-229.png,Viral Pneumonia-229.png
./Viral_Pneumonia/images/Viral Pneumonia-567.png,Viral Pneumonia-567.png
./Viral_Pneumonia/images/Viral Pneumonia-201.png,Viral Pneumonia-201.png
./Viral_Pneumonia/images/Viral Pneumonia-215.png,Viral Pneumonia-215.png
./Viral_Pneumonia/images/Viral Pneumonia-573.png,Viral Pneumonia-573.png
./Viral_Pneumonia/images/Viral Pneumonia-942.png,Viral Pneumonia-942.png
./Viral_Pneumonia/images/Viral Pneumonia-956.png,Viral Pneumonia-956.png
./Viral_Pneumonia/images/Viral Pneumonia-1178.png,Viral Pneumonia-1178.png
./Viral_Pneumonia/images/Viral Pneumonia-1150.png,Viral Pneumonia-1150.png
./Viral_Pneumonia/images/Viral Pneumonia-1144.png,Viral Pneumonia-1144.png
